0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
55,4,37,6,7,1,5,1,2,0,79,49,37,34,2
52,4,50,14,6,1,6,3,0,0,44,54,43,36,0
24,4,50,3,2,1,2,5,4,1,76,85,32,41,1
1,3,26,7,13,2,0,3,4,1,28,2,77,17,2
42,4,18,1,5,6,10,0,3,2,73,49,89,32,0
19,9,73,14,16,7,6,6,5,0,43,43,29,36,1
42,3,63,7,6,6,11,5,3,0,17,25,92,20,2
20,1,49,7,8,3,11,5,2,1,49,27,27,7,0
35,4,20,9,4,5,14,0,4,1,97,67,97,35,0
74,4,95,2,4,5,8,6,1,0,92,16,83,24,1
41,3,53,14,11,7,1,3,4,2,7,66,28,1,0
2,2,40,3,4,1,10,6,4,0,68,4,12,3,1
7,9,6,14,10,5,13,1,5,1,100,15,50,35,1
8,5,60,8,2,3,3,0,1,0,65,19,4,31,1
36,2,13,15,7,2,1,5,4,1,16,39,95,39,2
7,4,17,7,6,1,13,6,3,2,7,81,44,25,2
67,6,50,7,0,6,2,2,1,2,12,83,15,17,2
1,1,13,5,16,4,2,1,0,0,91,43,72,37,1
41,8,50,7,16,3,10,0,4,1,63,26,91,34,0
33,4,42,12,13,6,6,4,0,0,96,96,97,6,2
39,8,37,6,7,0,4,0,0,0,0,95,88,36,2
36,4,2,10,3,3,0,2,0,2,41,64,15,39,2
9,2,68,2,7,0,5,2,4,2,16,17,88,6,0
20,1,35,5,9,5,3,1,2,0,16,96,72,26,2
33,0,19,12,8,5,15,5,1,2,75,59,80,7,1
1,1,23,10,13,0,7,2,2,1,20,53,60,6,0
49,3,91,7,14,2,10,2,1,2,9,95,13,37,0
44,4,3,16,13,4,13,4,1,0,14,76,59,40,2
9,9,9,15,0,1,2,1,0,2,17,86,52,6,1
40,8,75,5,14,4,13,0,0,2,44,31,45,31,2
44,3,35,12,6,0,15,6,1,1,30,56,12,33,1
41,7,51,2,8,1,3,0,0,1,92,24,38,33,2
69,5,36,14,1,1,5,3,0,0,25,59,90,21,2
1,0,63,11,12,1,0,6,4,2,14,95,45,6,2
61,9,6,7,13,5,0,5,2,1,24,58,46,41,1
4,7,53,14,14,2,0,4,5,2,5,15,24,21,0
22,5,96,3,6,1,8,6,1,0,30,1,26,17,2
70,4,4,14,2,4,7,1,2,2,61,56,20,29,0
3,8,68,15,8,0,9,4,4,2,70,79,99,30,0
2,8,29,15,14,6,13,3,1,1,94,25,41,41,0
62,5,56,9,0,1,2,0,3,1,35,18,33,10,1
49,4,20,14,13,7,15,5,3,1,77,2,37,36,2
51,1,95,6,3,0,8,3,0,1,37,36,87,36,0
1,2,0,4,10,0,7,6,1,0,68,32,65,38,1
12,2,35,7,4,5,1,2,0,2,70,80,65,4,0
39,6,83,1,1,0,6,6,5,2,32,78,53,18,2
54,5,85,7,1,4,1,1,1,1,23,23,77,25,1
23,9,7,13,5,3,0,0,0,1,3,18,61,11,1
7,2,23,0,10,0,0,5,2,0,90,62,85,6,2
25,9,12,8,2,5,5,1,1,2,52,26,5,36,1
59,9,74,12,8,2,2,3,2,0,25,31,38,19,2
65,2,81,13,3,4,4,1,1,0,3,93,22,33,1
14,9,34,10,10,6,7,3,3,2,52,4,17,36,2
34,3,16,1,5,4,3,0,1,0,57,46,64,36,1
11,7,2,9,16,4,5,2,3,0,84,28,26,28,1
55,5,92,9,10,2,3,3,2,1,65,47,81,26,0
10,1,89,8,15,6,15,1,5,2,49,74,29,42,2
73,0,75,7,1,5,15,2,3,0,77,15,46,12,0
53,7,1,1,12,4,3,6,1,2,8,92,97,6,0
10,3,71,15,16,7,14,5,5,2,49,51,57,42,2
73,6,21,6,16,3,2,5,2,1,65,90,4,26,0
54,8,72,5,10,2,1,1,1,0,40,43,38,39,0
11,1,81,15,9,6,3,0,1,2,98,9,44,39,1
15,1,7,5,10,5,1,0,1,1,22,62,49,21,0
35,7,41,6,11,5,5,2,4,0,34,12,10,18,1
49,6,59,2,3,1,2,1,2,1,56,69,48,28,1
39,2,20,14,11,3,3,2,4,0,6,74,32,23,1
33,9,44,11,16,7,5,3,5,0,71,14,19,38,2
1,0,81,16,0,4,13,0,2,1,42,37,35,39,2
10,6,86,8,11,3,9,6,4,1,49,24,3,40,1
43,0,87,7,5,5,8,4,3,0,84,16,17,7,0
69,9,75,10,8,4,12,5,0,0,54,41,86,5,0
70,9,10,0,12,0,6,2,5,2,5,30,65,12,2
65,2,87,5,14,6,7,4,2,0,54,35,52,16,2
72,7,8,11,8,0,14,3,0,1,71,7,63,38,2
30,3,84,8,3,7,0,6,5,1,94,20,4,5,2
53,5,62,1,2,5,3,0,2,0,92,0,96,29,1
16,5,62,6,5,3,2,0,4,1,85,95,92,11,2
54,6,18,2,13,2,1,3,4,1,25,12,3,41,2
64,7,85,4,0,7,14,3,2,1,100,0,78,34,1
56,6,90,6,14,6,3,1,2,0,22,43,68,35,0
7,9,65,4,12,6,10,6,3,2,18,0,39,24,0
43,5,84,12,3,1,11,1,0,1,46,79,10,24,2
71,1,34,4,11,4,2,1,0,2,2,30,16,15,0
0,9,78,3,13,6,1,5,4,1,61,79,11,30,1
60,6,57,6,1,6,11,3,1,1,7,62,45,14,0
3,1,39,14,7,6,4,6,2,0,80,37,15,16,0
31,7,59,1,0,5,15,6,5,2,35,53,48,29,2
28,0,15,0,4,4,2,6,1,1,77,17,60,22,2
44,9,1,8,7,7,0,4,0,0,94,2,10,20,0
59,5,24,11,5,7,5,4,0,0,1,41,84,25,0
5,0,93,14,13,2,9,2,3,2,19,76,54,17,0
73,7,78,5,1,5,10,5,4,2,7,67,58,15,1
50,6,72,6,10,7,12,3,4,2,40,30,6,33,2
65,6,84,15,13,3,6,0,1,0,60,76,33,21,2
59,2,49,11,4,3,3,6,2,2,35,96,86,38,0
55,2,94,2,2,4,15,3,1,1,29,13,52,6,1
22,0,70,9,2,3,3,1,2,0,55,94,39,8,1
41,8,45,16,7,4,14,6,1,1,37,46,4,26,2
46,4,80,12,5,7,11,5,0,2,95,35,7,18,1
63,0,92,6,0,0,13,1,2,1,79,76,82,4,1
38,5,90,12,4,4,12,6,2,2,14,47,79,35,1
51,1,37,8,5,7,12,3,0,2,1,58,2,13,2
